"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__Route__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nPortal__Picklist_Buttons_Enabled__c"
"a0SWE000003CguM2AS","005al00000RVvFOAA1","false","FC-002585","","Are you a US Citizen?","","","Yes","","","LLC_BI__US_Citizen__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","","","","false","","42723019183882741","Contact",""
"a0SWE000003CgtN2AS","005al00000RVvFOAA1","false","FC-002524","","State","","","","","","Mailing_State_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","2.0","","","false","","42730446738469620","Contact",""
"a0SWE000003CHFV2A4","005al00000RVcKvAAL","false","FC-002164","","","","","","","","LLC_BI__Identity_Verification_Status__c","","","","false","","","false","false","false","false","false","true","false","false","false","","a0mWE000003FD9pYAG","","","","false","","42743479958457387","Contact",""
"a0SWE000003CHFW2A4","005al00000RVcKvAAL","false","FC-002165","","","","","","","","LLC_BI__Certifying_Individual__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWE000003FD9pYAG","2.0","","","false","","42745100612158354","LLC_BI__Connection__c",""
"a0SWE000003CHFX2A4","005al00000RVcKvAAL","false","FC-002166","","","","","","","","cm_Passport_Expiration_Date__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWE000003FDCHYA4","2.0","","","false","","42759182234806460","Contact",""
"a0SWE000003CHFY2A4","005al00000RVvFOAA1","false","FC-002167","","Primary ID Number","","","","","","LLC_BI__Drivers_License__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWE000003FDAfYAO","2.0","","","false","","42762634586662325","Contact",""
"a0SWE000003Cgtu2AC","005al00000RVvFOAA1","false","FC-002557","","","","","","","","cm_State_ID_Expiration_Date__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","2.0","","","false","","42767950586050973","Contact",""
"a0SWE000003CgtI2AS","005al00000RVvFOAA1","false","FC-002519","","City","","","","","","LLC_BI__Home_City__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","2.0","","","false","","42770528297172943","Contact",""
"a0SWE000003CguK2AS","005al00000RVvFOAA1","false","FC-002583","","County","","","","","","LLC_BI__Home_Address_County__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","2.0","","","false","","42772003203185188","Contact",""
"a0SWE000003CguE2AS","005al00000RVvFOAA1","false","FC-002577","","Mailing Zip Code","","","","","","Mailing_Zip_code_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","","","","false","","42777848133203365","Contact",""
"a0SWE000003CguQ2AS","005al00000RVvFOAA1","false","FC-002589","","","","","","","","LLC_BI__Identity_Verification_Status__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","","","","false","","42779073818678788","Contact",""
"a0SWE000003CguN2AS","005al00000RVvFOAA1","false","FC-002586","","Are you a US Citizen?","","","Yes","","","LLC_BI__US_Citizen__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","","","","false","","42781791805149454","Contact",""
"a0SWE000003CguJ2AS","005al00000RVvFOAA1","false","FC-002582","","","","","","","","Email","","","","false","","","false","false","false","false","false","false","false","false","false","","","2.0","","","false","","42786284743666440","Contact",""
