"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","nFORCE__Optional_Configuration__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c","LastViewedDate","LastReferencedDate"
"a2Fbn000000DvQbEAK","","DEP Personal Contact info (Business)","a2Gbn000000mZAJEA2","false","false","true","false","false","1500.0","slide","true","false","false","false","","false","","a2Ibn000000OjsBEAS","MappedSObjectScreenResource","","26731598381727799","Contact","false","false","{{IF=/""A AND B/""}} {{COND=/""A/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""B/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","a2Fbn000000DvS8EAK","","","false","false","","","Contact Info","","",""
"a2Fbn000000C3X5EAK","","UI Related Pledged Collateral Schedule","a2Gbn000000hcdMEAQ","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","27411560278867309","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3jnEAC","","Borrowing Structure","a2Gbn000000hcguEAA","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","27741620937672156","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3iHEAS","","Narrative","a2Gbn000000hcfpEAA","false","false","false","true","false","1.0","slide","true","false","false","false","","false","","a2Ibn000000M69JEAS","MappedSObjectScreenResource","","27881585604341048","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000CzGREA0","","Approver 2 Details","a2Gbn000000kG3XEAU","false","false","true","false","false","30.0","slide","true","false","false","false","","true","","a2Ibn000000NRB6EAO","MappedSObjectScreenResource","","27911640791248107","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3jREAS","","Other","a2Gbn000000hcgHEAQ","false","false","true","true","false","3.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","28031619447515176","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000CzGpEAK","","Approver 1 Details","a2Gbn000000kG3kEAE","false","false","true","false","false","20.0","slide","true","false","false","false","","true","","a2Ibn000000NRBFEA4","MappedSObjectScreenResource","","28081663700625424","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3j0EAC","","Third Party Management","a2Gbn000000hcg1EAA","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","29041619447515162","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000CzGuEAK","","SBL Primary Identification","a2Gbn000000kG3oEAE","false","false","false","false","false","60.0","slide","true","false","false","false","","true","","a2Ibn000000NRBNEA4","MappedSObjectScreenResource","","29871666029075336","Contact","false","false","","","","","false","false","","","Primary ID Details","Please enter or confirm your Primary ID information","",""
"a2Fbn000000DvQQEA0","","Deposit","a2Gbn000000mZAHEA2","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","2A20000D_3F0D_413F_AA0D_723C1B126E7D","LLC_BI__Deposit__c","false","false","","","6.0","","false","false","","","","","",""
