"Id","OwnerId","IsDeleted","Name","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nFORCE__Disable_Read_Only_View__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a2Gbn000000mZA8EAM","005bn000003k2JdAAI","","Joint Intent/Marital Status","false","true","426895784390633934","false","","","",""
"a2Gbn000000mZA9EAM","005bn000003k2JdAAI","","Marital Status","false","true","4268957843906339345","false","","","",""
"a2Gbn000000mZY9EAM","005bn000003k2JdAAI","","Add Beneficial Owner OA","false","true","42692388294244423","false","","","",""
"a2Gbn000000hcdVEAQ","005bn000003k2JdAAI","","SBL Personal","false","true","42692911532156791","false","","","",""
"a2Gbn000000mZWYEA2","005bn000003k2JdAAI","","Add Others Involved MRF","false","true","42701512328128599","false","","","",""
"a2Gbn000000kG40EAE","005bn000003k2JdAAI","","Balance Details","false","true","42706402666860943","false","","","",""
"a2Gbn000000hcd3EAA","005bn000003k2JdAAI","","Collateral2","false","true","42716660961482717","false","","","",""
"a2Gbn000000mZA7EAM","005bn000003k2JdAAI","","Funding Method","false","true","42728043130819155","false","","","",""
"a2Gbn000000mZADEA2","005bn000003k2JdAAI","","DEP Personal Info (Individual)","false","true","42747891239502889","false","","","",""
"a2Gbn000000hcdzEAA","005bn000003k2JdAAI","","Details- business EO","false","true","42754538931621755","false","","","",""
"a2Gbn000000hcd8EAA","005bn000003kBWnAAM","","Underwriting Details","false","true","42755114587290036","false","","","",""
"a2Gbn000000hccnEAA","005bn000003k2JdAAI","","CRA Screen","false","true","42768158053098535","false","","","",""
"a2Gbn000000hcdvEAA","005bn000003k2JdAAI","","Change Memo","false","true","42768254162527564","false","","","",""
"a2Gbn000000hcdlEAA","005bn000003k2JdAAI","","Bulk Edit All Facilities","false","true","42797151085322059","false","","","",""
"a2Gbn000000mZAIEA2","005bn000003k2JdAAI","","DEP Interest Information (Individual)","false","true","42810462241793916","false","","","",""
"a2Gbn000000kG3yEAE","005bn000003k2JdAAI","","SBL - Editable Details","false","true","42827405195124985","false","","","",""
"a2Gbn000000hccsEAA","005bn000003k2JdAAI","","Loan Compliance Screen","false","true","42832806785932622","false","","","",""
"a2Gbn000000hcdjEAA","005bn000003k2JdAAI","","Beneficial Ownership Summary","false","true","42834021314193185","false","","","",""
"a2Gbn000000hcdwEAA","005bn000003k2JdAAI","","Fees Summary","false","true","42839732363377241","false","","","",""
"a2Gbn000000mZA4EAM","005bn000003k2JdAAI","","Confirm Credit Pull","false","true","42843836296295970","false","","","",""
"a2Gbn000000hcciEAA","005bn000003k2JdAAI","","Payment Structure","false","true","42845770103705580","false","","","",""
"a2Gbn000000hccJEAQ","005bn000003k2JdAAI","","Counterparty Report Topbar","false","true","42851832252859441","false","","","",""
"a2Gbn000000mZ9yEAE","005bn000003k2JdAAI","","Approval Summary","false","true","42855096372429871","false","","","",""
"a2Gbn000000hce2EAA","005bn000003k2JdAAI","","Beneficiary","false","true","42856498406131349","false","","","",""
"a2Gbn000000hcd6EAA","005bn000003kBWnAAM","","Underwriting Details","false","true","42866893089137191","false","","","",""
"a2Gbn000000hccoEAA","005bn000003k2JdAAI","","HMDA Screen 1","false","true","42870475258935934","false","","","",""
"a2Gbn000000hcfeEAA","005bn000003k2JdAAI","","Entity Compliance Screen","false","true","42875195092745613","false","","","",""
"a2Gbn000000mZAEEA2","005bn000003k2JdAAI","","DEP Personal Info (Individual Additional Owner)","false","true","42877898799061822","false","","","",""
"a2Gbn000000mZt7EAE","005bn000003k2JdAAI","","Borrowing Structure Information","false","true","42907025017215417","false","","","",""
"a2Gbn000000hcfbEAA","005bn000003k2JdAAI","","Loan Compliance Screen","false","true","42920140975446045","false","","","",""
"a2Gbn000000hch7EAA","005bn000003k2JdAAI","","Loan Current","false","true","42923350579814359","false","","","",""
"a2Gbn000000mZAGEA2","005bn000003k2JdAAI","","Add Beneficiaries","false","true","42933845298338736","false","","4.0","","Beneficiary Information"
"a2Gbn000000hchAEAQ","005bn000003k2JdAAI","","Bulk Edit Pre Approval","false","true","42938264836815273","false","","","",""
"a2Gbn000000hcdcEAA","005bn000003k2JdAAI","","Available One to Many Screen Sections","false","true","429446046658847391","false","","","",""
"a2Gbn000000hchIEAQ","005bn000003k2JdAAI","","Copy Loan","false","true","42958934612337865","false","","","",""
"a2Gbn000000mZYAEA2","005bn000003k2JdAAI","","Add Beneficial Owner OA","false","true","42962240935795279","false","","","",""
"a2Gbn000000hcdYEAQ","005bn000003k2JdAAI","","SBL Business Info","false","true","42981961269080453","false","","","",""
"a2Gbn000000hcd4EAA","005bn000003kBWnAAM","","Underwriting Details","false","true","42983688617809083","false","","","",""
