"Id","OwnerId","IsDeleted","Name","LLC_BI__Description__c","LLC_BI__End_Date__c","LLC_BI__Has_Period_Grouping__c","LLC_BI__Is_Consolidation__c","LLC_BI__Is_Disabled__c","LLC_BI__Is_Template__c","LLC_BI__Migration_Target__c","LLC_BI__Object_API_Name__c","LLC_BI__Selected_Scale__c","LLC_BI__Show_Footnotes__c","LLC_BI__Source_Template__c","LLC_BI__Start_Date__c","LLC_BI__Version__c","LLC_BI__lookupKey__c"
"a5VWD000000HB5P2AW","005al00000RVcKvAAL","false","a5VWD000000HB5P","","","false","false","false","true","","","m","false","","","","42025868496618092"
"a5VWD000000HB5X2AW","005al00000RVcKvAAL","false","a5VWD000000HB5X","","","false","false","false","true","","","mm","true","","","","42025882033607561"
"a5VWD000000HBDT2A4","005al00000RVcKvAAL","false","a5VWD000000HBDT","","","false","false","false","true","","","$","false","","","","42026534339555696"
"a5VWD000000HAZ32AO","005al00000RVcKvAAL","false","a5VWD000000HAZ3","","","false","false","false","true","","","m","true","","","","42027169677768821"
"a5VWD000000HAy22AG","005al00000RVcKvAAL","false","a5VWD000000HAy2","","","false","false","false","true","","","mm","false","","","","42027428004540769"
"a5VWD000000HAe62AG","005al00000RVcKvAAL","false","a5VWD000000HAe6","","","false","false","false","true","","","mm","false","","","","42027598743511914"
"a5VWD000000HAsT2AW","005al00000RVcKvAAL","false","a5VWD000000HAsT","","","false","false","false","true","","","mm","true","","","","42027726711795415"
"a5VWD000000HAfA2AW","005al00000RVcKvAAL","false","a5VWD000000HAfA","","","false","false","false","true","","","mm","false","","","","42028158917450713"
"a5VWD000000HAqW2AW","005al00000RVcKvAAL","false","a5VWD000000HAqW","","","false","false","false","true","","","$","true","","","","42028942989139441"
"a5VWD000000HAqz2AG","005al00000RVcKvAAL","false","a5VWD000000HAqz","","","false","false","false","true","","","mm","true","","","","42029153221841271"
"a5VWD000000HAZM2A4","005al00000RVcKvAAL","false","a5VWD000000HAZM","","","false","false","false","true","","","mm","false","","","","42029382860484613"
"a5VWD000000HAx32AG","005al00000RVcKvAAL","false","a5VWD000000HAx3","","","false","false","false","true","","","$","true","","","","42030037487147878"
"a5VWD000000HAgs2AG","005al00000RVcKvAAL","false","a5VWD000000HAgs","","","false","false","false","true","","","mm","false","","","","42030214697353288"
"a5VWD000000HAhC2AW","005al00000RVcKvAAL","false","a5VWD000000HAhC","","","false","false","false","true","","","$","false","","","","42030370178547108"
"a5VWD000000HAwX2AW","005al00000RVcKvAAL","false","a5VWD000000HAwX","","","false","false","false","true","","","m","true","","","","42031199977444231"
"a5VWD000000HB732AG","005al00000RVcKvAAL","false","a5VWD000000HB73","","","false","false","false","true","","","$","true","","","","42031763760992063"
"a5VWD000000HB7X2AW","005al00000RVcKvAAL","false","a5VWD000000HB7X","","","false","false","false","true","","","m","true","","","","42032026450203730"
"a5VWD000000HB9d2AG","005al00000RVcKvAAL","false","a5VWD000000HB9d","","","false","false","false","true","","","m","false","","","","42032037343081119"
"a5VWD000000HAoG2AW","005al00000RVcKvAAL","false","a5VWD000000HAoG","","","false","false","false","true","","","mm","false","","","","42032224955143438"
