"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c"
"a0qVx00000Gm4d4IAB","false","Collateral Valuation","a0sVx000002iIV5IAM","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42756829475996655","LLC_BI__Collateral__c",""
"a0qal00000CdJdrAAF","false","Bulk Pledge Details","a0sal000004PdLnAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42767725671171979","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJtKAAV","false","Collateral Valuation","a0sal000004PdNWAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42770916055813452","LLC_BI__Collateral__c",""
"a0qVx00000Gm4ePIAR","false","Test 47098","a0sVx000002iIZXIA2","false","false","false","false","","false","false","false","false","false","47098.0","slide","true","false","false","false","","false","","","","SObjectScreenResource","","42802929803550101","LLC_BI__Product_Package__c",""
"a0qal00000CdJdsAAF","false","Collateral Search Results","a0sal000004PdLZAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42805212959009489","LLC_BI__Collateral__c",""
"a0qal00000CdJtcAAF","false","Pledge Details","a0sal000004PdNWAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42837477030719818","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJdtAAF","false","Bulk Pledge Details","a0sal000004PdLuAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42848430673618947","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJduAAF","false","Collateral Search Results","a0sal000004PdLjAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42853911194284150","LLC_BI__Collateral__c",""
"a0qal00000CdJdvAAF","false","Collateral Search Results","a0sal000004PdLlAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42855338262284267","LLC_BI__Collateral__c",""
"a0qal00000CdJdwAAF","false","Bulk Pledge Details","a0sal000004PdLgAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42863673639779731","LLC_BI__Loan_Collateral2__c",""
