"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000BAKFEYA5","false","SC-000022810","a0qWD00000GWJbgYAH","2.0","LLC_BI__Syndication_Summary","","","","false","a0vWD00000BAJWaYAP","LLC_BI__Participations__r","participation records","","false","0B2D5A5F2E124A149425500A1F6A5835","LLC_BI__Participation__c"
"a0vWD00000BAJcbYAH","false","SC-000020592","a0qWD00000GWIm1YAH","1.01","","","","","false","","","","","false","0B302B73_265E_4325_A035_54583B2C2F12","LLC_BI__Loan__c"
"a0vWD00000BAJccYAH","false","SC-000020593","a0qWD00000GWKEoYAP","1.01","","","","","false","","","","","false","0C430D67_2B3D_4602_844E_475D501A3921","LLC_BI__Deposit__c"
"a0vWD00000BAJWRYA5","false","SC-000020210","a0qWD00000GWJbfYAH","0.0","LLC_BI__Participation_Details","","","","false","","","Participation","","false","0F1E623675484224A92A7C6227251723","LLC_BI__Loan__c"
"a0vWD00000BAKGhYAP","false","SC-000022901","a0qWD00000GWIncYAH","2.02","LLC_BI__UI_Entity_Involvement_Fieldset","","","","false","a0vWD00000BAJw8YAH","LLC_BI__Legal_Entities__r","","","false","0F201C65_2C78_414D_9646_655D434B2854","LLC_BI__Legal_Entities__c"
"a0vWD00000BQnuoYAD","false","SC-000026541","a0qWD00000Gzf3SYAR","1.01","","","","","false","","","","","false","1","1"
"a0vWD00000BAJcdYAH","false","SC-000020594","a0qWD00000GWKZ6YAP","1.01","","","a0bWD0000011TjaYAE","","false","","","","","false","1.681612432467005","LLC_BI__Product_Package__c"
"a0vWD00000BAJWhYAP","false","SC-000020226","a0qWD00000GWJajYAH","1.01","","","","","false","","","","","false","1001","Account"
"a0vWD00000BAGzfYAH","false","SC-000018782","a0qWD00000GWFnDYAX","1.01","","","a0bWD0000011TUZYA2","","false","","","","","false","1002","Account"
"a0vWD00000BAJWiYAP","false","SC-000020227","a0qWD00000GWJWwYAP","1.01","UI_Relationship_Relationship_Information","","","","false","","","","","false","1003","Account"
"a0vWD00000BAJWjYAP","false","SC-000020228","a0qWD00000GWJWcYAP","1.01","","","","","false","","","","","false","1004","Account"
"a0vWD00000BAKFZYA5","false","SC-000022831","a0qWD00000GWJWcYAP","2.01","nFORCE__UI_Lookup_Fields","","","","false","a0vWD00000BAJWjYAP","Contacts","","","false","1005","Contact"
"a0vWD00000BAJWkYAP","false","SC-000020229","a0qWD00000GWJX5YAP","1.01","","","","","false","","","","","false","1006","Account"
