"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c","AutorabitExtId__c"
"a2BKU0000009wxD2AQ","0058c00000BxeO9AAJ","false","Loan - SBA","sba","42582460515911323","false","false","false","","a2GKU0000004WEi2AM","","","","","","",""
"a2BKU0000009wvZ2AQ","0058c00000BxeO9AAJ","false","CRA","","42587259055558994","false","false","true","","","","","","","","",""
"a2BKU0000009wxF2AQ","0058c00000BxeO9AAJ","false","Loan - Consumer","consumer","42588531478698473","false","false","false","","a2GKU0000004WEi2AM","","","","","","",""
"a2BKU0000009ww42AA","0058c00000BxeO9AAJ","false","Bill Pay","tmmg-BillPay00-00","42591881211107573","false","false","false","","a2GKU0000004WDv2AM","","","","","","",""
"a2BKU0000009wxI2AQ","0058c00000BxeO9AAJ","false","Treasury - Remote Deposit","Remote-Deposit","42593960257694441","false","false","false","","","","","","","","",""
"a2BKU0000009wwW2AQ","0058c00000BxeO9AAJ","false","Checks Deposited","tmmg-ChecksDeposited00-00","42595872270071168","false","false","false","","a2GKU0000004WEO2A2","","","","","","",""
"a2BKU0000009xA12AI","0058c00000Dk4fdAAB","false","1st group","1st group","42597968508959939","false","false","false","","","","","","","","",""
"a2BKU0000009wvr2AA","0058c00000BxeO9AAJ","false","Wire Outgoing ManualMaintenance","tmmg-wireoutgoingmanual-00","426034127026778311","false","false","false","","a2GKU0000004WDi2AM","","","","","","",""
"a2BKU0000009wvs2AA","0058c00000BxeO9AAJ","false","Retail LockboxMaintenance","tmmg-retaillockbox-00","4260341270267783111","false","false","false","","a2GKU0000004WDj2AM","","","","","","",""
"a2BKU0000009wvt2AA","0058c00000BxeO9AAJ","false","Remote DepositMaintenance","tmmg-remotedeposit-00","4260341270267783121","false","false","false","","a2GKU0000004WDk2AM","","","","","","",""
"a2BKU0000009wvu2AA","0058c00000BxeO9AAJ","false","Zero Balance AccountMaintenance","tmmg-zerobalanceaccount-00","4260341270267783131","false","false","false","","a2GKU0000004WDl2AM","","","","","","",""
"a2BKU0000009wuA2AQ","0058c00000BxeO9AAJ","false","Counterparty Report","counterparty-report","42604168176930459","false","false","false","","a2GKU0000004W832AE","counterparty-report","","","","","",""
"a2BKU0000009wuy2AA","0058c00000BxeO9AAJ","false","Loan Customer Creation Business","loan-cc-bus","42604178718324788","false","false","false","","","loan-cc-bus","","","","","",""
"a2BKU0000009wu12AA","0058c00000BxeO9AAJ","false","Reg W","Reg-W","42609568878702857","false","false","true","","","","","","","","",""
"a2BKU0000009wv62AA","0058c00000BxeO9AAJ","false","a2B79000000trJf","","42610199779082994","false","false","false","","","","","","","","",""
"a2BKU0000009wwK2AQ","0058c00000BxeO9AAJ","false","ACH Block and Filter","tmmg-ACHBlockandFilter00-00","42616403597651882","false","false","false","","a2GKU0000004WEC2A2","","","","","","",""
"a2BKU0000009wu92AA","0058c00000BxeO9AAJ","false","Customer Portal","customer-portal","42618985083488670","false","false","false","","","customer-portal","Customer Dashboard","a2CKU0000009qBy2AI","","","",""
"a2BKU0000009wvj2AA","0058c00000BxeO9AAJ","false","Reg O Loan Questionnaire","","42619981783916507","false","false","true","","","","","","","","",""
"a2BKU0000009wwU2AQ","0058c00000BxeO9AAJ","false","Deposit Adjustment","tmmg-DepositAdjustment00-00","42620712357920306","false","false","false","","a2GKU0000004WEM2A2","","","","","","",""
"a2BKU0000009wu32AA","0058c00000BxeO9AAJ","false","CRA","CRA","42628075973481801","false","false","true","","","","","","","","",""
"a2BKU0000009wwj2AA","0058c00000BxeO9AAJ","false","OB Loan Module","tmmg-OBLoanModule00-00","42629436023108108","false","false","false","","a2GKU0000004WEb2AM","","","","","","",""
"a2BKU0000009wu52AA","0058c00000BxeO9AAJ","false","Treasury Proforma","treasury-proforma","42632675207231296","false","false","false","","","treasury-proforma","","","","","",""
"a2BKU0000009wuG2AQ","0058c00000BxeO9AAJ","false","zzzSession (Not Used) - Vehicle Loan","veh-loan-grp","42633052120866545","false","false","false","","","veh-loan-grp","","","","Packaged - Do not use as this is not maintained (Summer 19)","",""
"a2BKU0000009wuu2AA","0058c00000BxeO9AAJ","false","Relationship","relationship","42635757875411396","false","false","false","","","relationship","","","","","",""
"a2BKU0000009wuc2AA","0058c00000BxeO9AAJ","false","Treasury Services","treasury-default","42641407286729576","false","false","false","","","treasury-default","","","","","",""
"a2BKU0000009wvk2AA","0058c00000BxeO9AAJ","false","Reg W","","42653793309322418","false","false","true","","","","","","","","",""
"a2BKU0000009wvR2AQ","0058c00000BxeO9AAJ","false","Secured Retail Loan Application","portal-rl-secured","42655019862816908","false","false","false","","","portal-rl-secured","","","","","",""
"a2BKU0000009wuD2AQ","0058c00000BxeO9AAJ","false","Secured Small Business Loan Application (Individual Other Involved)","portal-sbl-secured-other","42658790117959030","false","false","false","a2BKU0000009wuC2AQ","","portal-sbl-secured-other","","","","","",""
"a2BKU0000009wvz2AA","0058c00000BxeO9AAJ","false","Checks","tmmg-Checks00-00","42659953253932440","false","false","false","","a2GKU0000004WDq2AM","","","","","","",""
