"Id","IsDeleted","Name","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Screen_Section__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000B9irqYAB","false","SC-000022309","3.0","LLC_BI__Treasury_Mass_Actions_Authorized_Users","","","","false","a0vWD00000B9iFJYAZ","LLC_BI__Authorized_Users__r","a0qWD00000GSgKpYAL","","","false","4202617607206960659","LLC_BI__Authorized_User__c"
"a0vWD00000B9iFKYAZ","false","SC-000020061","2.0","","","","","false","","","a0qWD00000GSgKnYAL","","","false","420261760720696066","LLC_BI__Treasury_Service__c"
"a0vWD00000B9lVWYAZ","false","SC-000027515","4.0","LLC_BI__Treasury_Mass_Actions_Contacts","","","50.0","true","a0vWD00000B9irqYAB","LLC_BI__Contact_Reference__r","a0qWD00000GSgKpYAL","Select contacts from the account or connected accounts to add as authorized users.","","false","4202617607206960660","Contact"
"a0vWD00000B9iFLYAZ","false","SC-000020062","2.0","","","","","false","","","a0qWD00000GSgKqYAL","","","false","4202617607206960662","LLC_BI__Treasury_Service__c"
"a0vWD00000B9irrYAB","false","SC-000022310","3.0","LLC_BI__Treasury_Mass_Actions_Analyzed_Accounts","LLC_BI__Analyzed_Account_Type__c = DDA","","","false","a0vWD00000B9iFLYAZ","LLC_BI__Analyzed_Accounts__r","a0qWD00000GSgKqYAL","","","false","4202617607206960663","LLC_BI__Analyzed_Account__c"
"a0vWD00000B9lVXYAZ","false","SC-000027516","4.0","LLC_BI__Treasury_Mass_Actions_Deposits","LLC_BI__Analyzed_Account_Type__c = DDA","","50.0","true","a0vWD00000B9irrYAB","LLC_BI__Deposit_Reference__r","a0qWD00000GSgKqYAL","Select deposits from the account or connected accounts to add as analyzed accounts.","","false","4202617607206960664","LLC_BI__Deposit__c"
"a0vWD00000B9iFMYAZ","false","SC-000020063","2.0","","","","","false","","","a0qWD00000GSgKrYAL","","","false","4202617607206960666","LLC_BI__Treasury_Service__c"
"a0vWD00000B9irsYAB","false","SC-000022311","3.0","LLC_BI__Treasury_Mass_Actions_Authorized_Users","","","","false","a0vWD00000B9iFMYAZ","LLC_BI__Authorized_Users__r","a0qWD00000GSgKrYAL","","","false","4202617607206960667","LLC_BI__Authorized_User__c"
"a0vWD00000B9lVYYAZ","false","SC-000027517","4.0","LLC_BI__Treasury_Mass_Actions_Contacts","","","50.0","true","a0vWD00000B9irsYAB","LLC_BI__Contact_Reference__r","a0qWD00000GSgKrYAL","Select contacts from the account or connected accounts to add as authorized users.","","false","4202617607206960668","Contact"
"a0vWD00000B9irtYAB","false","SC-000022312","3.0","LLC_BI__Treasury_Mass_Actions_Analyzed_Accounts","LLC_BI__Analyzed_Account_Type__c = DDA","","","false","a0vWD00000B9iFKYAZ","LLC_BI__Analyzed_Accounts__r","a0qWD00000GSgKnYAL","","","false","420261760720696067","LLC_BI__Analyzed_Account__c"
"a0vWD00000B9iFNYAZ","false","SC-000020064","2.0","","","","","false","","","a0qWD00000GSgKsYAL","","","false","4202617607206960670","LLC_BI__Treasury_Service__c"
